psi,r,ydot,xdot
-0.002058878081,0.0,0.0,30.0
-0.002119376288,0.0,0.0,30.0
-0.002180380449,0.0,0.0,30.0
-0.002241879595,0.0,0.0,30.0
-0.00230386303,0.0,0.0,30.0
-0.002366320325,0.0,0.0,30.0
-0.002429241308,0.0,0.0,30.0
-0.002492616057,0.0,0.0,30.0
-0.002556434896,0.0,0.0,30.0
-0.002620688388,0.0,0.0,30.0
-0.002685367323,0.0,0.0,30.0
-0.002750462719,0.0,0.0,30.0
-0.00281596581,0.0,0.0,30.0
-0.002881868044,0.0,0.0,30.0
-0.002948161076,0.0,0.0,30.0
-0.003014836761,0.0,0.0,30.0
-0.00308188715,0.0,0.0,30.0
-0.003149304484,0.0,0.0,30.0
-0.003217081189,0.0,0.0,30.0
-0.003285209873,0.0,0.0,30.0
-0.003353683317,0.0,0.0,30.0
-0.003422494474,0.0,0.0,30.0
-0.003491636462,0.0,0.0,30.0
-0.003561102562,0.0,0.0,30.0
-0.003630886212,0.0,0.0,30.0
-0.003700981001,0.0,0.0,30.0
-0.003771380669,0.0,0.0,30.0
-0.003842079103,0.0,0.0,30.0
-0.003913070327,0.0,0.0,30.0
-0.003984348506,0.0,0.0,30.0
-0.004055907938,0.0,0.0,30.0
-0.00412774305,0.0,0.0,30.0
-0.004199848398,0.0,0.0,30.0
-0.004272218662,0.0,0.0,30.0
-0.00434484864,0.0,0.0,30.0
-0.004417733251,0.0,0.0,30.0
-0.004490867526,0.0,0.0,30.0
-0.004564246607,0.0,0.0,30.0
-0.004637865746,0.0,0.0,30.0
-0.004711720302,0.0,0.0,30.0
-0.004785805733,0.0,0.0,30.0
-0.004860117602,0.0,0.0,30.0
-0.004934651567,0.0,0.0,30.0
-0.005009403383,0.0,0.0,30.0
-0.005084368898,0.0,0.0,30.0
-0.005159544048,0.0,0.0,30.0
-0.005234924863,0.0,0.0,30.0
-0.005310507453,0.0,0.0,30.0
-0.005386288016,0.0,0.0,30.0
-0.005462262832,0.0,0.0,30.0
-0.005538428259,0.0,0.0,30.0
-0.005614780733,0.0,0.0,30.0
-0.005691316769,0.0,0.0,30.0
-0.005768032953,0.0,0.0,30.0
-0.005844925944,0.0,0.0,30.0
-0.005921992473,0.0,0.0,30.0
-0.005999229339,0.0,0.0,30.0
-0.006076633408,0.0,0.0,30.0
-0.006154201611,0.0,0.0,30.0
-0.006231930946,0.0,0.0,30.0
-0.006309818469,0.0,0.0,30.0
-0.006387861301,0.0,0.0,30.0
-0.00646605662,0.0,0.0,30.0
-0.006544401662,0.0,0.0,30.0
-0.006622893722,0.0,0.0,30.0
-0.006701530149,0.0,0.0,30.0
-0.006780308345,0.0,0.0,30.0
-0.006859225766,0.0,0.0,30.0
-0.006938279921,0.0,0.0,30.0
-0.007017468366,0.0,0.0,30.0
-0.007096788708,0.0,0.0,30.0
-0.007176238603,0.0,0.0,30.0
-0.007255815752,0.0,0.0,30.0
-0.007335517903,0.0,0.0,30.0
-0.00741534285,0.0,0.0,30.0
-0.007495288427,0.0,0.0,30.0
-0.007575352514,0.0,0.0,30.0
-0.007655533033,0.0,0.0,30.0
-0.007735827944,0.0,0.0,30.0
-0.00781623525,0.0,0.0,30.0
-0.007896752991,0.0,0.0,30.0
-0.007977379246,0.0,0.0,30.0
-0.008058112132,0.0,0.0,30.0
-0.0081389498,0.0,0.0,30.0
-0.008219890439,0.0,0.0,30.0
-0.008300932273,0.0,0.0,30.0
-0.008382073558,0.0,0.0,30.0
-0.008463312585,0.0,0.0,30.0
-0.008544647677,0.0,0.0,30.0
-0.00862607719,0.0,0.0,30.0
-0.008707599509,0.0,0.0,30.0
-0.008789213051,0.0,0.0,30.0
-0.008870916264,0.0,0.0,30.0
-0.008952707622,0.0,0.0,30.0
-0.009034585631,0.0,0.0,30.0
-0.009116548823,0.0,0.0,30.0
-0.009198595757,0.0,0.0,30.0
-0.009280725021,0.0,0.0,30.0
-0.009362935227,0.0,0.0,30.0
-0.009445225013,0.0,0.0,30.0
-0.009527593044,0.0,0.0,30.0
-0.009610038008,0.0,0.0,30.0
-0.009692558616,0.0,0.0,30.0
-0.009775153606,0.0,0.0,30.0
-0.009857821735,0.0,0.0,30.0
-0.009940561786,0.0,0.0,30.0
-0.01002337256,0.0,0.0,30.0
-0.01010625289,0.0,0.0,30.0
-0.01018920161,0.0,0.0,30.0
-0.01027221761,0.0,0.0,30.0
