,Unnamed: 0,fzf,Unnamed: 0.1,fzr,Unnamed: 0.2,steer_angle,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,Unnamed: 0.6,vx,Unnamed: 0.7,vy,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
54,fzf55,5246.88497754805,fzr55,4575.78611663977,ans55,-0.1,r55,-0.022794259049863,psi55,-0.0070752824912008,wheel_angle55,-0.0074074074074074,xdot55,14.0,ydot55,0.0410443852672932,0.008059705173504733,0.0003266813499010327,-71.04442127719153,2.3020289375811176,-71.04211380781929,2.3020288147440437,0.002931733405302196
55,fzf56,5246.87936259834,fzr56,4575.79174037666,ans56,-0.1,r56,-0.0230568984094212,psi56,-0.0073045414868808,wheel_angle56,-0.0074074074074074,xdot56,14.0,ydot56,0.042668081383516,0.008149410973876316,0.00041264140439896006,-71.83508011035565,2.907768140178727,-71.83269473558937,2.9077678926216324,0.0030477106625264256
56,fzf57,5246.87364010714,fzr57,4575.7974720553,ans57,-0.1,r57,-0.0233157249695061,psi57,-0.0075364077502495,wheel_angle57,-0.0074074074074074,xdot57,14.0,ydot57,0.0443021493276411,0.008240236406055122,0.0004997767995649417,-72.63560503446544,3.5217912207033684,-72.633139015296,3.52179078087242,0.003164428675196024
57,fzf58,5246.86781284159,fzr58,4575.80330891102,ans58,-0.1,r58,-0.0235708121671149,psi58,-0.0077708435219164,wheel_angle58,-0.0074074074074074,xdot58,14.0,ydot58,0.0459458920518365,0.00833212395875603,0.0005880290430310505,-73.44548905982948,4.143686070889382,-73.44293962412543,4.14368535449134,0.0032818376499246906
58,fzf59,5246.86188357104,fzr59,4575.80924817645,ans59,-0.1,r59,-0.0238222317571564,psi59,-0.0080078117684157,wheel_angle59,-0.0074074074074074,xdot59,14.0,ydot59,0.0475986338570472,0.008425017798351059,0.0006773413425074316,-74.26423998768732,4.773052559995347,-74.26160433105673,4.7730514650779075,0.003399889318246049
59,fzf60,5246.85585506325,fzr60,4575.81528708545,ans60,-0.1,r60,-0.0240700538538937,psi60,-0.0082472761655933,wheel_angle60,-0.0074074074074074,xdot60,14.0,ydot60,0.0492597198204637,0.008518863725034635,0.0007676585612396228,-75.09138002382895,5.409502220864723,-75.0886553105666,5.409500626955873,0.003518536895727083
60,fzf61,5246.84973008074,fzr61,4575.82142287667,ans61,-0.1,r61,-0.024314346971341,psi61,-0.008489201082403,wheel_angle61,-0.0074074074074074,xdot61,14.0,ydot61,0.0509285152378294,0.008613609130173967,0.0008589271746771321,-75.92644540265279,6.052657944530971,-75.92362876676684,6.05265571183908,0.003637735042141232
61,fzf62,5246.84351137751,fzr62,4575.82765279694,ans62,-0.1,r62,-0.0245551780626418,psi62,-0.0087335515651023,wheel_angle62,-0.0074074074074074,xdot62,14.0,ydot62,0.0526044050802011,0.008709202954807167,0.000951095228315095,-76.76898602133569,6.702153683097844,-76.76607456764857,6.7021506517738345,0.003757439822673578
62,fzf63,5246.83720169592,fzr63,4575.83397410432,ans63,-0.1,r63,-0.0247926125584552,psi63,-0.0089802933218361,wheel_angle63,-0.0074074074074074,xdot63,14.0,ydot63,0.0542867934647872,0.008805595649253045,0.0010441122966721192,-77.61856508379559,7.357634160634253,-77.61555588911335,7.357630150096805,0.003877608670131292
63,fzf64,5246.8308037639,fzr64,4575.84038407095,ans64,-0.1,r64,-0.0250267144043736,psi64,-0.0092293927075996,wheel_angle64,-0.0074074074074074,xdot64,14.0,ydot64,0.055975103139498,0.008902739133798068,0.0011379294433690231,-78.47475875414455,8.018754591834684,-78.47164886848975,8.018749400159066,0.0039982003481332015
