,Unnamed: 0,fzf,Unnamed: 0.6,fzr,Unnamed: 0.7,steer_angle,Unnamed: 0.1,vx,Unnamed: 0.2,vy,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
47,fzf48,5291.97459928473,fzr48,4568.70934391902,ans48,0.0154831141352387,xdot48,28.0,ydot48,-0.0056811212487205,r48,0.0021125201708311,psi48,0.0003414330062108,wheel_angle48,0.0011468973433509,-0.0012441682817468506,-8.21816040704846e-05,11.061299666323302,-0.5782143481192176,11.06129110512893,-0.5782143461666409,-0.00020289718467006264
48,fzf49,5291.97443803262,fzr49,4568.70950548294,ans49,0.0158082320785553,xdot49,28.0,ydot49,-0.0060908375924118,r49,0.0021978597561107,psi49,0.0003629836608972,wheel_angle49,0.001170980153967,-0.001278616754282219,-9.193772486653375e-05,11.367564061898918,-0.6468566065657202,11.367554769707722,-0.6468566038319278,-0.0002175299105835888
49,fzf50,5291.97426281881,fzr50,4568.70968104516,ans50,0.0161330785516643,xdot50,28.0,ydot50,-0.0065182515851943,r50,0.0022846883310896,psi50,0.0003853951646168,wheel_angle50,0.0011950428556789,-0.001313602703074127,-0.00010224080125308684,11.678606849678998,-0.7193471492634996,11.678596773658384,-0.7193471455037665,-0.00023279469526591521
50,fzf51,5291.97407281857,fzr51,4568.70987143358,ans51,0.0164576479760709,xdot51,28.0,ydot51,-0.0069636373261366,r51,0.0023729960851366,psi51,0.000408682358101,wheel_angle51,0.0012190850352645,-0.0013491359892562104,-0.00011310117869039119,11.9945156954285,-0.7957587661924876,11.994504779413829,-0.7957587611028637,-0.00024870132794871976
51,fzf52,5291.97386718088,fzr52,4568.71007750261,ans52,0.0167819347780381,xdot52,28.0,ydot52,-0.0074272640253638,r52,0.0024627733413478,psi52,0.0004328599846455,wheel_angle52,0.0012431062798546,-0.001385226292088313,-0.0001245290195860821,12.31537664761021,-0.8761629595556578,12.31536483192028,-0.8761629527621195,-0.0002652594232558342
52,fzf53,5291.97364502833,fzr53,4568.71030013318,ans53,0.0171059333886822,xdot53,28.0,ydot53,-0.0079093960805811,r53,0.0025540105539037,psi53,0.0004579426914348,wheel_angle53,0.0012671061769393,-0.0014218831117090176,-0.0001365343060714877,12.641274161837991,-0.9606299633243265,12.641261383082119,-0.9606299543704787,-0.000282478423935958
53,fzf54,5291.97340545713,fzr54,4568.71054023285,ans54,0.0174296382440686,xdot54,28.0,ydot54,-0.0084102931522461,r54,0.0026466983054731,psi54,0.0004839450308396,wheel_angle54,0.0012910843143754,-0.0014591157718282799,-0.00014912684271729183,12.972291124797161,-1.049228762357372,12.972277315673537,-1.0492287506905698,-0.0003003676035470927
54,fzf55,5291.97314753703,fzr55,4568.71079873579,ans55,0.0177530437853072,xdot55,28.0,ydot55,-0.0089302102374122,r55,0.0027408273046636,psi55,0.0005108814616893,wheel_angle55,0.001315040280393,-0.0014969334223587007,-0.0001623162591888884,13.308508877618555,-1.1420271110966747,13.30849396670364,-1.1420270960524272,-0.00031893606909349614
55,fzf56,5291.9728703113,fzr56,4568.71107660287,ans56,0.0180761444586479,xdot56,28.0,ydot56,-0.0094693977422675,r56,0.0028363883835165,psi56,0.0005387663505183,wheel_angle56,0.0013389736636035,-0.0015353450419881213,-0.00017611201284194777,13.65000723873041,-1.2390915518425039,13.649991150259023,-1.2390915326270184,-0.00033819276361602763
56,fzf57,5291.97257279677,fzr57,4568.71137482164,ans57,0.0183989347155762,xdot57,28.0,ydot57,-0.0100281015533926,r57,0.0029333724950475,psi57,0.0005676139727887,wheel_angle57,0.0013628840530056,-0.0015743594406904305,-0.00019052339125847064,13.996864526160467,-1.3404874326107397,13.996847179796315,-1.340487408281454,-0.0003581464687367179
